reranker,retrieval_k,context_k,recall@1,recall@3,recall@5,recall@10,primary_hit@1,mrr@10,ndcg@5,ndcg@10,precision@5,context_recall,context_primary_hit,rerank_mean_ms,total_mean_ms,total_p95_ms
none,5,5,0.557563025210084,0.8193277310924371,0.8900280112044819,0.8900280112044819,0.8,0.9223529411764707,0.8753051856762524,0.8748165931304199,0.308235294117647,0.8900280112044819,0.9882352941176471,0.0029010276193730533,21.04490610654466,36.58032534003722
none,10,5,0.557563025210084,0.8193277310924371,0.8900280112044819,0.9304201680672269,0.8,0.9223529411764707,0.8753051856762524,0.8884552478935946,0.308235294117647,0.8900280112044819,0.9882352941176471,0.0036395314964465797,17.503614554880187,22.132863893057216
none,20,5,0.557563025210084,0.8193277310924371,0.8900280112044819,0.9304201680672269,0.8,0.9223529411764707,0.8753051856762524,0.8884552478935946,0.308235294117647,0.8900280112044819,0.9882352941176471,0.005334243178367615,18.302518586278893,27.52723160374444
none,50,5,0.557563025210084,0.8193277310924371,0.8900280112044819,0.9304201680672269,0.8,0.9223529411764707,0.8753051856762524,0.8884552478935946,0.308235294117647,0.8900280112044819,0.9882352941176471,0.010080324136652052,21.59855940262787,34.2205535736866
lexical second stage (BM25),5,5,0.5029411764705883,0.7347338935574229,0.8900280112044819,0.8900280112044819,0.7294117647058823,0.8572549019607844,0.8280693062730712,0.827728528302096,0.308235294117647,0.8900280112044819,0.9882352941176471,0.06739375094184652,20.730438496684656,33.62177671806417
lexical second stage (BM25),10,5,0.45588235294117657,0.6530532212885154,0.7459103641456581,0.9304201680672269,0.6588235294117647,0.8072549019607844,0.740754343180814,0.7965892538224281,0.25647058823529406,0.7459103641456581,0.8941176470588236,0.09478332212893292,17.677759371872526,22.496587235946205
lexical second stage (BM25),20,5,0.4441176470588236,0.6138375350140056,0.6677591036414565,0.8127731092436975,0.6470588235294118,0.767530345471522,0.6957111692110816,0.7392389296433612,0.22588235294117642,0.6677591036414565,0.8470588235294118,0.14538010727846995,18.610180058749393,25.348287142696787
lexical second stage (BM25),50,5,0.4176470588235295,0.6127450980392157,0.6448179271708683,0.7374789915966387,0.611764705882353,0.7266806722689076,0.665648674598378,0.6943211686881078,0.21647058823529405,0.6448179271708683,0.8,0.2856156279449351,17.575849979766645,22.78391217114404
cross-encoder,5,5,0.5893277310924371,0.8419887955182074,0.8900280112044819,0.8900280112044819,0.8941176470588236,0.9607843137254901,0.900360594419169,0.8998621289178413,0.308235294117647,0.8900280112044819,0.9882352941176471,29.787983317510225,48.64635726844426,66.4932225481607
cross-encoder,10,5,0.5794117647058824,0.8191316526610644,0.8717927170868348,0.9304201680672269,0.8588235294117647,0.9369747899159664,0.8811218643115759,0.8994478140213924,0.3058823529411765,0.8717927170868348,0.9764705882352941,36.35581457201624,55.293944776349235,71.65412119938992
cross-encoder,20,5,0.5676470588235295,0.8066946778711485,0.8800280112044818,0.9262184873949579,0.8470588235294118,0.9242156862745099,0.8791800093521238,0.8929626488804144,0.3105882352941176,0.8800280112044818,0.9764705882352941,50.391061419213656,69.57551561499713,102.58709609333889
cross-encoder,50,5,0.5676470588235295,0.7949299719887954,0.8776750700280113,0.9209243697478993,0.8470588235294118,0.9230718954248366,0.876306001011936,0.8898446865070494,0.3082352941176471,0.8776750700280113,0.9764705882352941,100.07999380759429,118.88334268296603,171.10341525694818
