comparison,metric,mean_a,mean_b,difference,ci_low,ci_high,significant,arm_a,arm_b
dense vs lexical retrieval,recall@1,0.557563025210084,0.4176470588235295,0.13991596638655462,0.05798319327731093,0.22353991596638642,True,B. Dense retrieval (no reranker),A. Lexical retrieval (BM25 only)
dense vs lexical retrieval,primary_hit@1,0.8,0.611764705882353,0.18823529411764706,0.058823529411764705,0.3176470588235294,True,B. Dense retrieval (no reranker),A. Lexical retrieval (BM25 only)
dense vs lexical retrieval,ndcg@5,0.8753051856762524,0.6465809664588846,0.22872421921736766,0.1590549112458159,0.30360196873401574,True,B. Dense retrieval (no reranker),A. Lexical retrieval (BM25 only)
dense vs lexical retrieval,mrr@10,0.9223529411764707,0.709327731092437,0.2130252100840336,0.1302780112044818,0.30098249299719887,True,B. Dense retrieval (no reranker),A. Lexical retrieval (BM25 only)
dense vs lexical retrieval,context_recall,0.8900280112044819,0.6183473389355741,0.2716806722689075,0.19481792717086835,0.3556043417366946,True,B. Dense retrieval (no reranker),A. Lexical retrieval (BM25 only)
cross-encoder vs no reranker,recall@1,0.5676470588235295,0.557563025210084,0.010084033613445379,-0.04285714285714286,0.06302521008403363,False,C. Dense + cross-encoder reranker,B. Dense retrieval (no reranker)
cross-encoder vs no reranker,primary_hit@1,0.8470588235294118,0.8,0.047058823529411764,-0.047058823529411764,0.1411764705882353,False,C. Dense + cross-encoder reranker,B. Dense retrieval (no reranker)
cross-encoder vs no reranker,ndcg@5,0.8791800093521238,0.8753051856762524,0.0038748236758714594,-0.0349972834929209,0.04048230638435139,False,C. Dense + cross-encoder reranker,B. Dense retrieval (no reranker)
cross-encoder vs no reranker,mrr@10,0.9242156862745099,0.9223529411764707,0.0018627450980392129,-0.04313970588235295,0.046080882352941145,False,C. Dense + cross-encoder reranker,B. Dense retrieval (no reranker)
cross-encoder vs no reranker,context_recall,0.8800280112044818,0.8900280112044819,-0.01,-0.05588235294117647,0.031176470588235288,False,C. Dense + cross-encoder reranker,B. Dense retrieval (no reranker)
cross-encoder vs lexical second stage,recall@1,0.5676470588235295,0.4441176470588236,0.12352941176470589,0.06764705882352941,0.18529411764705883,True,C. Dense + cross-encoder reranker,D. Dense + lexical second-stage rerank (baseline)
cross-encoder vs lexical second stage,primary_hit@1,0.8470588235294118,0.6470588235294118,0.2,0.11764705882352941,0.2823529411764706,True,C. Dense + cross-encoder reranker,D. Dense + lexical second-stage rerank (baseline)
cross-encoder vs lexical second stage,ndcg@5,0.8791800093521238,0.6957111692110816,0.18346884014104226,0.1276923205724801,0.24349814760677188,True,C. Dense + cross-encoder reranker,D. Dense + lexical second-stage rerank (baseline)
cross-encoder vs lexical second stage,mrr@10,0.9242156862745099,0.767530345471522,0.15668534080298788,0.09725175070028011,0.2233204948646125,True,C. Dense + cross-encoder reranker,D. Dense + lexical second-stage rerank (baseline)
cross-encoder vs lexical second stage,context_recall,0.8800280112044818,0.6677591036414565,0.2122689075630252,0.14176260504201682,0.2873991596638655,True,C. Dense + cross-encoder reranker,D. Dense + lexical second-stage rerank (baseline)
lexical second stage vs no reranker,recall@1,0.4441176470588236,0.557563025210084,-0.1134453781512605,-0.1945378151260504,-0.03529411764705882,True,D. Dense + lexical second-stage rerank (baseline),B. Dense retrieval (no reranker)
lexical second stage vs no reranker,primary_hit@1,0.6470588235294118,0.8,-0.15294117647058825,-0.27058823529411763,-0.03529411764705882,True,D. Dense + lexical second-stage rerank (baseline),B. Dense retrieval (no reranker)
lexical second stage vs no reranker,ndcg@5,0.6957111692110816,0.8753051856762524,-0.17959401646517073,-0.24798258359997216,-0.11700034360846966,True,D. Dense + lexical second-stage rerank (baseline),B. Dense retrieval (no reranker)
lexical second stage vs no reranker,mrr@10,0.767530345471522,0.9223529411764707,-0.15482259570494863,-0.23619631185807663,-0.08029330065359479,True,D. Dense + lexical second-stage rerank (baseline),B. Dense retrieval (no reranker)
lexical second stage vs no reranker,context_recall,0.6677591036414565,0.8900280112044819,-0.22226890756302517,-0.3007002801120448,-0.15,True,D. Dense + lexical second-stage rerank (baseline),B. Dense retrieval (no reranker)
